compiler,program,opt,flag_id,sec_flags,compile_cmd,compile_ok,compile_wall_s,compile_user_s,compile_sys_s,compile_max_rss_kb,size_bytes,size_stripped_bytes,relro,canary,nx,pie,fortified,fortifiable,sha256,compile_stderr_tail
rustc,suma,-C opt-level=s,stack_protector_strong,-Z stack-protector=strong,rustc --edition 2021 /app/programs/suma.rs -C opt-level=s -Z stack-protector=strong -o results_csv/20260719-210130/bin/rustc__suma__C_opt_level_s__stack_protector_strong,1,0.733,0.095,0.019,111952,4509904,350520,full,yes,yes,yes,0,8,b0eb64cd1b9b87688a35ae794b0ec7b5fa91f5d15e590c5dc89c4d7f3d0a2ee4,
rustc,suma,-C opt-level=s,stack_protector_all,-Z stack-protector=all,rustc --edition 2021 /app/programs/suma.rs -C opt-level=s -Z stack-protector=all -o results_csv/20260719-210130/bin/rustc__suma__C_opt_level_s__stack_protector_all,1,0.805,0.086,0.029,112144,4510400,351016,full,yes,yes,yes,0,8,cf8923e72a12146237046154cb7328838c6acdbe47899b7d1cf437099372bfee,
rustc,suma,-C opt-level=z,baseline,,rustc --edition 2021 /app/programs/suma.rs -C opt-level=z -o results_csv/20260719-210130/bin/rustc__suma__C_opt_level_z__baseline,1,0.825,0.078,0.036,108396,4509960,350400,full,no,yes,yes,0,8,e8b37047ff0788f7298c2c75c4388176ee65c7de0896d6235d2564ba2da74650,
rustc,suma,-C opt-level=z,stack_protector_none,-Z stack-protector=none,rustc --edition 2021 /app/programs/suma.rs -C opt-level=z -Z stack-protector=none -o results_csv/20260719-210130/bin/rustc__suma__C_opt_level_z__stack_protector_none,1,0.654,0.087,0.028,110404,4509960,350400,full,no,yes,yes,0,8,e8b37047ff0788f7298c2c75c4388176ee65c7de0896d6235d2564ba2da74650,
rustc,suma,-C opt-level=z,stack_protector,-Z stack-protector=basic,rustc --edition 2021 /app/programs/suma.rs -C opt-level=z -Z stack-protector=basic -o results_csv/20260719-210130/bin/rustc__suma__C_opt_level_z__stack_protector,1,0.61,0.085,0.031,111132,4510232,350632,full,yes,yes,yes,0,8,d6095a07fbd99f42bb628391cb6e16135404e09c1e70a32e57deaee4b8c8aec4,
rustc,suma,-C opt-level=z,stack_protector_strong,-Z stack-protector=strong,rustc --edition 2021 /app/programs/suma.rs -C opt-level=z -Z stack-protector=strong -o results_csv/20260719-210130/bin/rustc__suma__C_opt_level_z__stack_protector_strong,1,0.791,0.081,0.034,114412,4510232,350632,full,yes,yes,yes,0,8,d6095a07fbd99f42bb628391cb6e16135404e09c1e70a32e57deaee4b8c8aec4,
rustc,suma,-C opt-level=z,stack_protector_all,-Z stack-protector=all,rustc --edition 2021 /app/programs/suma.rs -C opt-level=z -Z stack-protector=all -o results_csv/20260719-210130/bin/rustc__suma__C_opt_level_z__stack_protector_all,1,0.856,0.081,0.036,112256,4510760,351160,full,yes,yes,yes,0,8,51ae10257852dbd6c9b967a4a6b5c0e38761072f1fdb4473fc73b778757511b3,
rustc,final,-C opt-level=0,baseline,,rustc --edition 2021 /app/programs/final.rs -C opt-level=0 -o results_csv/20260719-210130/bin/rustc__final__C_opt_level_0__baseline,1,0.643,0.069,0.026,108380,4516448,353992,full,no,yes,yes,0,8,b2dbd1b438aa005f86a7f8d6eafd6fd2adffbda0240c8e9a9776a2923af7d6f8,
rustc,final,-C opt-level=0,stack_protector_none,-Z stack-protector=none,rustc --edition 2021 /app/programs/final.rs -C opt-level=0 -Z stack-protector=none -o results_csv/20260719-210130/bin/rustc__final__C_opt_level_0__stack_protector_none,1,0.631,0.058,0.035,108140,4516448,353992,full,no,yes,yes,0,8,b2dbd1b438aa005f86a7f8d6eafd6fd2adffbda0240c8e9a9776a2923af7d6f8,
rustc,final,-C opt-level=0,stack_protector,-Z stack-protector=basic,rustc --edition 2021 /app/programs/final.rs -C opt-level=0 -Z stack-protector=basic -o results_csv/20260719-210130/bin/rustc__final__C_opt_level_0__stack_protector,1,0.663,0.066,0.029,102824,4517360,354864,full,yes,yes,yes,0,8,d77a57e966089bbc99217adca35e829c3becfccfb9d828cc59d6b9392fdf694f,
