compiler,program,opt,flag_id,sec_flags,compile_cmd,compile_ok,compile_wall_s,compile_user_s,compile_sys_s,compile_max_rss_kb,size_bytes,size_stripped_bytes,relro,canary,nx,pie,fortified,fortifiable,sha256,compile_stderr_tail
clang++,suma,-O1,no_plt,-fno-plt,clang++ /app/programs/suma.cpp -O1 -fno-plt -o results_csv/20260711-061031/bin/clang++__suma__O1__no_plt,1,2.231,0.324,0.025,115924,16000,14424,partial,no,yes,yes,0,1,faa60f70bddc311952d5d16e6c411fd95cf1cd955436e940c5d116aa63df2c71,
clang++,suma,-O1,asan,-fsanitize=address,clang++ /app/programs/suma.cpp -O1 -fsanitize=address -o results_csv/20260711-061031/bin/clang++__suma__O1__asan,1,3.63,0.457,0.091,115208,1696032,1357136,partial,no,yes,yes,8,54,2445234cf2eb656e6b5dd7e3cda748e8334f603f59cdfbb75b4021dbf08f802f,
clang++,suma,-O1,ubsan,-fsanitize=undefined,clang++ /app/programs/suma.cpp -O1 -fsanitize=undefined -o results_csv/20260711-061031/bin/clang++__suma__O1__ubsan,1,3.154,0.394,0.066,115864,426056,308744,partial,no,yes,yes,3,4,a042b9e4cb3046c5b1f3aceca83f5978c9413c8cb346943548e7bd55a1b0bb1c,
clang++,suma,-O1,msan,-fsanitize=memory,clang++ /app/programs/suma.cpp -O1 -fsanitize=memory -o results_csv/20260711-061031/bin/clang++__suma__O1__msan,1,3.612,0.455,0.088,115868,1400896,1074184,partial,no,yes,yes,7,65,a12a8db69686ded7e3be857e9f7a7bb39d23b9a57305206103417dbf980f522e,
clang++,suma,-O1,safe_stack,-fsanitize=safe-stack,clang++ /app/programs/suma.cpp -O1 -fsanitize=safe-stack -o results_csv/20260711-061031/bin/clang++__suma__O1__safe_stack,1,2.34,0.3,0.052,114436,23256,18944,partial,no,yes,yes,1,5,97ca6d794f43f9432be170ea5a912af94f945cede2f637c2fc60b9776bef0fe4,
clang++,suma,-O1,lto,-flto,clang++ /app/programs/suma.cpp -O1 -flto -o results_csv/20260711-061031/bin/clang++__suma__O1__lto,1,2.577,0.339,0.039,112240,16064,14520,partial,no,yes,yes,0,1,c9ff81d58e70c7a605a9524c3f1a8ed414e0426561c2b2967b415e01ca551a26,
clang++,suma,-O1,hardening_baseline,"-fstack-protector-strong -D_FORTIFY_SOURCE=2 -Wl,-z,relro,-z,now -z noexecstack -fPIE -pie","clang++ /app/programs/suma.cpp -O1 -fstack-protector-strong -D_FORTIFY_SOURCE=2 -Wl,-z,relro,-z,now -z noexecstack -fPIE -pie -o results_csv/20260711-061031/bin/clang++__suma__O1__hardening_baseline",1,2.394,0.306,0.056,115536,16408,14512,full,yes,yes,yes,1,1,9b02b26a67850b34064795f7d598e541710f1ad169548ee857ae7df6627b9206,
clang++,suma,-O2,baseline,,clang++ /app/programs/suma.cpp -O2 -o results_csv/20260711-061031/bin/clang++__suma__O2__baseline,1,2.246,0.32,0.037,117124,16096,14520,partial,no,yes,yes,0,1,e3b38e562c5a4c124e52f25d6028f8f6f2b9fb3a9dac7e151996c2e623252c64,
clang++,suma,-O2,pie,-fPIE -pie,clang++ /app/programs/suma.cpp -O2 -fPIE -pie -o results_csv/20260711-061031/bin/clang++__suma__O2__pie,1,2.423,0.318,0.039,116908,16096,14520,partial,no,yes,yes,0,1,e3b38e562c5a4c124e52f25d6028f8f6f2b9fb3a9dac7e151996c2e623252c64,
clang++,suma,-O2,no_pie,-no-pie,clang++ /app/programs/suma.cpp -O2 -no-pie -o results_csv/20260711-061031/bin/clang++__suma__O2__no_pie,1,2.41,0.304,0.05,116384,15928,14448,partial,no,yes,no,0,1,8e0963807ef6ca71f5ba72fe1e148e1549ce9e0fd75d546645c846b2965c70c3,
