compiler,program,opt,flag_id,n,time_ms_median,time_ms_ci95_lo,time_ms_ci95_hi,rss_kb_median,rss_kb_ci95_lo,rss_kb_ci95_hi,overhead_vs_baseline,overhead_ci95_lo,overhead_ci95_hi
rustc,final,-C opt-level=1,stack_protector_none,10,111.434,111.340,114.881,2172,2078,2182,0.9983,0.9908,1.0268
rustc,final,-C opt-level=1,stack_protector_strong,10,111.027,110.702,119.023,2090,2030,2160,0.9947,0.9876,1.0654
rustc,final,-C opt-level=2,asan,10,227.884,227.337,228.901,10104,10008,10124,1.8656,1.7689,1.8764
rustc,final,-C opt-level=2,baseline,10,122.152,121.583,128.938,2072,2064,2156,,,
rustc,final,-C opt-level=2,debug_assertions,10,103.739,101.694,113.729,2148,2060,2168,0.8493,0.8147,0.9307
rustc,final,-C opt-level=2,execstack,10,122.827,122.428,136.008,2118,2036,2166,1.0055,0.9991,1.1139
rustc,final,-C opt-level=2,lsan,10,134.812,130.699,140.226,6710,4706,8836,1.1036,1.0645,1.1473
rustc,final,-C opt-level=2,lto,10,101.203,99.817,102.440,1942,1880,2040,0.8285,0.7938,0.8407
rustc,final,-C opt-level=2,lto_thin,10,115.867,113.804,116.389,2094,2034,2146,0.9485,0.8990,0.9542
rustc,final,-C opt-level=2,no_pie,10,116.346,115.266,116.685,2112,2044,2160,0.9525,0.9034,0.9582
rustc,final,-C opt-level=2,noexecstack,10,124.847,121.746,135.650,2068,2036,2160,1.0221,0.9933,1.1105
rustc,final,-C opt-level=2,overflow_checks,10,103.750,103.284,106.978,2092,2038,2172,0.8493,0.8054,0.8761
rustc,final,-C opt-level=2,panic_abort,10,105.306,104.711,106.644,2056,2000,2108,0.8621,0.8183,0.8747
rustc,final,-C opt-level=2,pie,10,121.891,121.185,135.624,2138,2072,2168,0.9979,0.9467,1.1120
rustc,final,-C opt-level=2,relro_full,10,123.837,121.648,135.601,2038,1996,2168,1.0138,0.9907,1.1119
rustc,final,-C opt-level=2,stack_protector,10,102.617,102.404,107.082,2100,2040,2172,0.8401,0.7978,0.8774
rustc,final,-C opt-level=2,stack_protector_none,10,122.659,121.785,124.881,2062,2000,2116,1.0042,0.9527,1.0214
rustc,final,-C opt-level=2,stack_protector_strong,10,102.913,102.427,107.873,2066,2030,2144,0.8425,0.8086,0.8861
rustc,final,-C opt-level=3,asan,10,227.708,226.891,229.217,8200,6342,10102,1.8732,1.6851,1.8871
rustc,final,-C opt-level=3,baseline,10,121.559,121.123,134.997,2134,2008,2168,,,
rustc,final,-C opt-level=3,debug_assertions,10,108.923,102.053,114.835,2064,2004,2164,0.8960,0.7969,0.9431
rustc,final,-C opt-level=3,execstack,10,122.512,121.991,135.688,2104,2012,2168,1.0078,0.9454,1.1202
rustc,final,-C opt-level=3,lsan,10,130.159,129.751,135.319,6778,4724,8702,1.0707,0.9642,1.1113
rustc,final,-C opt-level=3,lto,10,97.642,96.941,99.859,1926,1904,2028,0.8032,0.7233,0.8215
rustc,final,-C opt-level=3,lto_thin,10,102.017,101.515,110.724,2152,2066,2164,0.8392,0.7553,0.9023
rustc,final,-C opt-level=3,no_pie,10,116.723,115.780,117.257,2154,2064,2164,0.9602,0.8637,0.9662
rustc,final,-C opt-level=3,noexecstack,10,122.548,121.621,135.211,2074,2040,2156,1.0081,0.9078,1.1104
rustc,final,-C opt-level=3,overflow_checks,10,106.671,103.373,109.032,2068,2060,2148,0.8775,0.7898,0.8957
rustc,final,-C opt-level=3,panic_abort,10,104.919,104.365,105.346,2158,2114,2164,0.8631,0.7760,0.8683
rustc,final,-C opt-level=3,pie,10,122.704,121.624,135.252,2150,2076,2168,1.0094,0.9083,1.1145
rustc,final,-C opt-level=3,relro_full,10,123.270,121.511,135.378,2164,2076,2172,1.0141,0.9131,1.1158
rustc,final,-C opt-level=3,stack_protector,10,102.648,102.446,110.810,2068,2030,2156,0.8444,0.7604,0.9131
rustc,final,-C opt-level=3,stack_protector_none,10,122.287,120.988,122.633,2068,2002,2156,1.0060,0.9029,1.0112
rustc,final,-C opt-level=3,stack_protector_strong,10,102.611,102.507,110.998,2062,2012,2114,0.8441,0.7599,0.9120
rustc,final,-C opt-level=s,asan,10,354.839,353.663,355.851,10050,6332,10108,2.2647,1.8035,2.2943
rustc,final,-C opt-level=s,baseline,10,156.680,154.790,193.690,2146,2064,2164,,,
rustc,final,-C opt-level=s,debug_assertions,10,229.448,228.617,231.192,2066,2056,2160,1.4644,1.1677,1.4852
rustc,final,-C opt-level=s,execstack,10,155.272,154.671,160.539,2146,2068,2168,0.9910,0.7903,1.0292
rustc,final,-C opt-level=s,lsan,10,182.275,181.808,183.089,7750,4710,8800,1.1634,0.9393,1.1807
rustc,final,-C opt-level=s,lto,10,158.726,158.205,160.276,1948,1888,2004,1.0131,0.8049,1.0272
rustc,final,-C opt-level=s,lto_thin,10,157.794,157.362,158.125,2100,2024,2156,1.0071,0.8132,1.0200
rustc,final,-C opt-level=s,no_pie,10,159.075,158.599,166.306,2070,2012,2168,1.0153,0.8214,1.0633
rustc,final,-C opt-level=s,noexecstack,10,155.769,154.675,156.630,2134,2020,2158,0.9942,0.8030,1.0101
rustc,final,-C opt-level=s,overflow_checks,10,229.763,228.693,369.960,2158,2064,2164,1.4664,1.1788,2.3705
rustc,final,-C opt-level=s,panic_abort,10,169.909,168.818,195.495,2142,2004,2172,1.0844,0.8747,1.2552
rustc,final,-C opt-level=s,pie,10,156.110,155.093,163.572,2154,2064,2168,0.9964,0.7909,1.0509
rustc,final,-C opt-level=s,relro_full,10,155.536,154.818,196.743,2146,2064,2162,0.9927,0.7871,1.2517
rustc,final,-C opt-level=s,stack_protector,10,231.854,231.474,237.280,2132,2068,2172,1.4798,1.2340,1.5111
rustc,final,-C opt-level=s,stack_protector_none,10,156.757,154.503,161.694,2094,2052,2166,1.0005,0.8234,1.0302
rustc,final,-C opt-level=s,stack_protector_strong,10,232.192,231.655,233.031,2066,2004,2162,1.4819,1.1803,1.5019
rustc,final,-C opt-level=z,asan,10,541.423,540.358,546.035,10034,6332,10120,2.4350,2.2409,2.4568
rustc,final,-C opt-level=z,baseline,10,222.346,221.584,243.334,2132,2064,2162,,,
rustc,final,-C opt-level=z,debug_assertions,10,217.331,216.580,219.648,2032,1990,2156,0.9774,0.8910,0.9883
rustc,final,-C opt-level=z,execstack,10,222.524,221.481,225.928,2112,2068,2160,1.0008,0.9374,1.0156
rustc,final,-C opt-level=z,lsan,10,255.245,253.273,270.910,8720,4772,8766,1.1480,1.0630,1.1934
rustc,final,-C opt-level=z,lto,10,213.607,211.695,251.134,1900,1832,2036,0.9607,0.8913,1.0949
