compiler,program,opt,flag_id,sec_flags,compile_cmd,compile_ok,compile_wall_s,compile_user_s,compile_sys_s,compile_max_rss_kb,size_bytes,size_stripped_bytes,relro,canary,nx,pie,fortified,fortifiable,sha256,compile_stderr_tail
rustc,final,-C opt-level=s,lsan,-Z sanitizer=leak,rustc --edition 2021 /app/programs/final.rs -C opt-level=s -Z sanitizer=leak -o results_csv/20260709-181237/bin/rustc__final__C_opt_level_s__lsan,1,1.524,0.09,0.029,104280,5267304,600744,full,no,yes,yes,0,9,546d4f4e0bd4a695a865a8721812da93c2a943dc324fe8ed8839897a29fa87a5,
rustc,final,-C opt-level=s,relro_full,"-C link-arg=-Wl,-z,relro,-z,now","rustc --edition 2021 /app/programs/final.rs -C opt-level=s -C link-arg=-Wl,-z,relro,-z,now -o results_csv/20260709-181237/bin/rustc__final__C_opt_level_s__relro_full",1,1.146,0.066,0.044,104092,4509920,350504,full,no,yes,yes,0,8,da42bfbd8790cf4d862a3b5712e45b6351a3066bc8df5d014081ecc5caa994c7,
rustc,final,-C opt-level=s,stack_protector_none,-Z stack-protector=none,rustc --edition 2021 /app/programs/final.rs -C opt-level=s -Z stack-protector=none -o results_csv/20260709-181237/bin/rustc__final__C_opt_level_s__stack_protector_none,1,0.733,0.08,0.03,102792,4509920,350504,full,no,yes,yes,0,8,da42bfbd8790cf4d862a3b5712e45b6351a3066bc8df5d014081ecc5caa994c7,
rustc,final,-C opt-level=s,stack_protector,-Z stack-protector=basic,rustc --edition 2021 /app/programs/final.rs -C opt-level=s -Z stack-protector=basic -o results_csv/20260709-181237/bin/rustc__final__C_opt_level_s__stack_protector,1,0.757,0.063,0.049,103908,4510128,350672,full,yes,yes,yes,0,8,07cdcef33f65c0436d636104166799cc8f81af9b7d55a042f57f152fd215658d,
rustc,final,-C opt-level=s,stack_protector_strong,-Z stack-protector=strong,rustc --edition 2021 /app/programs/final.rs -C opt-level=s -Z stack-protector=strong -o results_csv/20260709-181237/bin/rustc__final__C_opt_level_s__stack_protector_strong,1,0.724,0.071,0.041,103928,4510128,350672,full,yes,yes,yes,0,8,07cdcef33f65c0436d636104166799cc8f81af9b7d55a042f57f152fd215658d,
rustc,final,-C opt-level=s,noexecstack,"-C link-arg=-Wl,-z,noexecstack","rustc --edition 2021 /app/programs/final.rs -C opt-level=s -C link-arg=-Wl,-z,noexecstack -o results_csv/20260709-181237/bin/rustc__final__C_opt_level_s__noexecstack",1,0.719,0.073,0.038,103820,4509920,350504,full,no,yes,yes,0,8,da42bfbd8790cf4d862a3b5712e45b6351a3066bc8df5d014081ecc5caa994c7,
rustc,final,-C opt-level=s,execstack,"-C link-arg=-Wl,-z,execstack","rustc --edition 2021 /app/programs/final.rs -C opt-level=s -C link-arg=-Wl,-z,execstack -o results_csv/20260709-181237/bin/rustc__final__C_opt_level_s__execstack",1,0.763,0.077,0.034,104132,4509920,350504,full,no,no,yes,0,8,49a552ad8209f46ffcdc5ce440acc5ddbbd754734b494e95e8f2c905cb013ad1,
rustc,final,-C opt-level=s,pie,-C relocation-model=pic -C link-arg=-pie,rustc --edition 2021 /app/programs/final.rs -C opt-level=s -C relocation-model=pic -C link-arg=-pie -o results_csv/20260709-181237/bin/rustc__final__C_opt_level_s__pie,1,0.7,0.074,0.037,103908,4509920,350504,full,no,yes,yes,0,8,da42bfbd8790cf4d862a3b5712e45b6351a3066bc8df5d014081ecc5caa994c7,
rustc,final,-C opt-level=s,no_pie,-C relocation-model=static -C link-arg=-no-pie,rustc --edition 2021 /app/programs/final.rs -C opt-level=s -C relocation-model=static -C link-arg=-no-pie -o results_csv/20260709-181237/bin/rustc__final__C_opt_level_s__no_pie,1,0.677,0.067,0.041,103124,4495000,335576,full,no,yes,no,0,8,7155852a52562a1a1dfe15787654e7e99f69d972e0cd6903df0b939808e2304f,
rustc,final,-C opt-level=s,hardening_baseline,"-Z stack-protector=strong -C link-arg=-Wl,-z,relro,-z,now","rustc --edition 2021 /app/programs/final.rs -C opt-level=s -Z stack-protector=strong -C link-arg=-Wl,-z,relro,-z,now -o results_csv/20260709-181237/bin/rustc__final__C_opt_level_s__hardening_baseline",1,0.762,0.067,0.044,102836,4510128,350672,full,yes,yes,yes,0,8,07cdcef33f65c0436d636104166799cc8f81af9b7d55a042f57f152fd215658d,
rustc,final,-C opt-level=z,baseline,,rustc --edition 2021 /app/programs/final.rs -C opt-level=z -o results_csv/20260709-181237/bin/rustc__final__C_opt_level_z__baseline,1,0.74,0.077,0.035,104696,4510072,350568,full,no,yes,yes,0,8,cca4ceba917e14adb41412b9aa485318b25623d4c4f96954a8f936bb6321e4de,
rustc,final,-C opt-level=z,overflow_checks,-C overflow-checks=on,rustc --edition 2021 /app/programs/final.rs -C opt-level=z -C overflow-checks=on -o results_csv/20260709-181237/bin/rustc__final__C_opt_level_z__overflow_checks,1,0.729,0.077,0.034,104172,4510360,350760,full,no,yes,yes,0,8,a315500bd63d0f1f18b9ab16320fadd98fa57ef734813408c0c431f1431fcbe1,
rustc,final,-C opt-level=z,debug_assertions,-C debug-assertions=on,rustc --edition 2021 /app/programs/final.rs -C opt-level=z -C debug-assertions=on -o results_csv/20260709-181237/bin/rustc__final__C_opt_level_z__debug_assertions,1,0.71,0.089,0.023,107296,4510360,350760,full,no,yes,yes,0,8,a315500bd63d0f1f18b9ab16320fadd98fa57ef734813408c0c431f1431fcbe1,
